제품_ID,브랜드,제품명,종류,평점,리뷰수,쇼핑몰,가격,핵심요약
59,해태음식,할리스 도시락김,도시락김,4.5,650,온라인,"5,000~6,000",해태 계열 + 프리미엄 라인
60,삼양식품,불닭 시즈닝 김,특수맛,4.4,420,편의점,"4,500~5,500",불닭 인기 + 신제품 인기
61,삼립식품,가래떡 대신 김,건강식,4.5,380,온라인,"6,000~7,000",삼립 신제품 + 건강 마케팅
62,푸르지오,우리농 도시락김,유기농,4.6,520,온라인,"8,000~9,500",우리농 인증 + 국내산 강조
63,담는사람들,손 담은 도시락김,수공예,4.7,340,온라인,"9,500~11,000",수공예 + 프리미엄 감성
64,자연식탁,자연 속 김,유기농세트,4.7,280,온라인,"38,000~45,000",자연식탁 브랜드 + 유기농 강화
65,밀양김,밀양 전통 김,지역특산,4.5,680,온라인,"7,000~8,500",밀양 지역 특산 + 전통성
66,고성김,고성 수깡김,지역특산,4.6,520,온라인,"6,500~8,000",고성 원초 + 신선도
67,문경사과,사과향 김,특수맛,4.4,320,온라인,"7,500~9,000",문경사과 콜라보 + 차별화
68,가평잣,잣 향김,특수맛,4.5,240,온라인,"9,000~11,000",가평잣 프리미엄 + 고급 향미
69,여수 해남산,여수산 파래김,지역특산,4.7,620,온라인,"8,500~10,000",여수산 파래 + 최고급
70,완도 해수,완도 생태 김,친환경,4.6,480,온라인,"7,500~9,000",완도 생태 + 친환경 인증
71,태안해안길,태안 황금 김,지역특산,4.5,360,온라인,"6,500~8,000",태안 지역 명품 + 황금색
72,보령 계절,계절 한정 김,시즈널,4.6,520,온라인,"8,000~10,000",시즈널 제품 + 한정판 가치
73,금강산삼,산삼 향 김,건강식,4.5,280,온라인,"10,000~12,000",산삼 프리미엄 + 건강 이미지
74,청송사과,청송 어린이 김,키즈용,4.4,680,편의점/마트,"4,500~5,500",어린이 전용 + 안전성 강조
75,제주감귤,감귤향 김,특수맛,4.5,420,온라인,"7,500~9,000",제주 감귤 콜라보 + 상큼함
76,부산항구,항구 도시락김,시즌한정,4.6,340,온라인,"6,500~8,000",부산 항구도시 정체성 + 한정판
77,인천해산물,인천 박은 김,지역특산,4.5,580,온라인,"7,000~8,500",인천 해산물 권역 + 신선도
78,강릉차,차 명인의 김,향료김,4.7,240,온라인,"9,000~11,000",강릉차 콜라보 + 프리미엄 향미
79,원주 한지,한지 패키징 김,디자인상품,4.4,180,온라인,"12,000~15,000",원주한지 + 예술적 가치
80,속초 오징어,오징어 향 김,특수맛,4.5,320,온라인,"8,500~10,000",속초 오징어 명성 + 해양 맛
81,경주 불국사,불국사 기도 김,문화상품,4.6,240,온라인,"9,500~11,500",문화 유산 + 기념 상품
82,안압지,문화유산 김세트,한정판,4.5,160,온라인,"45,000~55,000",문화유산 정체성 + 고급스러움
83,해인사,명상의 김,정신문화,4.7,200,온라인,"11,000~13,000",해인사 인정 + 영적 가치
84,팔만대장경,경전의 김,문화상품,4.6,150,온라인,"13,000~15,000",대장경 문화 + 프리미엄
85,DMZ,평화 통일 김,통일염원,4.5,280,온라인,"10,000~12,000",평화 메시지 + 나눔 마케팅
86,남해보물,남해 보물 캔김,캔김고급,4.7,220,온라인,"38,000~45,000",남해 원초 + 캔김 프리미엄
87,통영 미학,미학의 도시 김,디자인,4.6,200,온라인,"11,500~13,500",통영 미항 정체성 + 미학
88,거제도 한담,한담의 경험,경험상품,4.5,240,온라인,"12,000~14,000",거제도 관광 + 체험 마케팅
89,제주 한라산,한라산 품은 김,명산 시리즈,4.7,280,온라인,"9,500~11,500",한라산 정체성 + 프리미엄
90,서울 남산,남산 타워 김,도시시리즈,4.4,220,온라인,"8,500~10,000",남산 랜드마크 + 서울정체성
91,한강공원,한강 경험 김,경험상품,4.5,200,온라인,"10,000~12,000",한강 자연 + 도시 감성
92,여의도,금융중심 김,직장인용,4.4,520,편의점,"4,500~5,500",직장인 타겟 + 생산성 이미지
93,강남역,핫플 김,트렌드,4.6,680,편의점,"5,000~6,000",강남역 트렌드 + 핫플 정체성
94,명동,쇼핑의 즐거움 김,쇼핑체험,4.5,520,온라인,"7,500~9,000",명동 쇼핑 + 관광객 타겟
95,종로3가,고급문화 김,문화중심,4.7,280,온라인,"11,000~13,000",종로 문화중심 + 고급스러움
96,이태원,글로벌 맛의 김,국제화,4.5,320,온라인,"8,500~10,000",이태원 국제성 + 다문화
97,홍대,예술가 김,문화예술,4.6,240,온라인,"9,000~11,000",홍대 예술성 + 크리에이티브
98,압구정,프리미엄 로드 김,고급상품,4.7,180,온라인,"15,000~18,000",압구정로드 럭셔리 + 최상급
99,청담동,갤러리 김,미술품,4.6,120,온라인,"18,000~22,000",청담 갤러리 + 예술작품
100,강남 한옥,한옥의 정취 김,한문화,4.7,160,온라인,"12,000~15,000",한옥 문화 + 한국정체성 극대화
